id,old_category,old_note
1631,出行/_未分类,南京地铁(花神庙2023-07-2718:21:37--竹山路2023-07-2718:43:16)
1634,出行/_未分类,
1639,出行/_未分类,
1642,出行/_未分类,
1644,出行/_未分类,
1648,出行/_未分类,
1651,出行/_未分类,
1671,出行/_未分类,
1672,出行/_未分类,
1676,出行/_未分类,
1678,出行/_未分类,
1680,出行/_未分类,
1684,出行/_未分类,
1694,出行/_未分类,
1695,出行/_未分类,
1697,出行/_未分类,
1701,出行/_未分类,
1703,出行/_未分类,
1706,出行/_未分类,
1707,出行/_未分类,
1710,出行/_未分类,
1714,出行/_未分类,
1717,出行/_未分类,
1719,出行/_未分类,
1726,出行/_未分类,
1732,出行/_未分类,
1737,出行/_未分类,
1741,出行/_未分类,
1743,出行/_未分类,
1745,出行/_未分类,
1748,出行/_未分类,
1749,出行/_未分类,
1754,出行/_未分类,
1755,出行/_未分类,
1757,出行/_未分类,
1763,出行/_未分类,
1784,出行/_未分类,
1788,出行/_未分类,
1789,出行/_未分类,
1793,出行/_未分类,
1795,出行/_未分类,
1798,出行/_未分类,
1802,出行/_未分类,
1806,出行/_未分类,
1836,出行/_未分类,
1838,出行/_未分类,
1844,出行/_未分类,
1847,出行/_未分类,
1861,出行/_未分类,
1872,出行/_未分类,
1875,出行/_未分类,
1880,出行/_未分类,
1881,出行/_未分类,
1891,出行/_未分类,
1893,出行/_未分类,
1899,出行/_未分类,
1901,出行/_未分类,
1905,出行/_未分类,
1915,出行/_未分类,
1956,出行/_未分类,
1962,出行/_未分类,
1967,出行/_未分类,
1987,出行/_未分类,
1990,出行/_未分类,
2000,出行/_未分类,
2005,出行/_未分类,
2013,出行/_未分类,
2018,出行/_未分类,
2031,出行/_未分类,
2039,出行/_未分类,
2046,出行/_未分类,
2063,出行/_未分类,
2071,出行/_未分类,
2073,出行/_未分类,
2075,出行/_未分类,
2079,出行/_未分类,
2082,出行/_未分类,
2084,出行/_未分类,
2087,出行/_未分类,
2090,出行/_未分类,
2093,出行/_未分类,
2098,出行/_未分类,
2102,出行/_未分类,
2106,出行/_未分类,
2113,出行/_未分类,
2118,出行/_未分类,
2127,出行/_未分类,
2133,出行/_未分类,
2138,出行/_未分类,
2142,出行/_未分类,
2145,出行/_未分类,
2150,出行/_未分类,
2156,出行/_未分类,
2167,出行/_未分类,
2168,出行/_未分类,
2172,出行/_未分类,
2184,出行/_未分类,
2188,出行/_未分类,
2191,出行/_未分类,
2192,出行/_未分类,
2194,出行/_未分类,
2200,出行/_未分类,
2206,出行/_未分类,
2212,出行/_未分类,
2213,出行/_未分类,
2215,出行/_未分类,
2216,出行/_未分类,
2219,出行/_未分类,
2224,出行/_未分类,
2226,出行/_未分类,
2227,出行/_未分类,
2228,出行/_未分类,
2230,出行/_未分类,
2236,出行/_未分类,
2239,出行/_未分类,
2245,出行/_未分类,
2251,出行/_未分类,
2264,出行/_未分类,
2265,出行/_未分类,
2269,出行/_未分类,
2277,出行/_未分类,
2282,出行/_未分类,
2288,出行/_未分类,
2291,出行/_未分类,
2294,出行/_未分类,
2299,出行/_未分类,
2301,出行/_未分类,
2302,出行/_未分类,
2307,出行/_未分类,
2309,出行/_未分类,停车费
2316,出行/_未分类,
2323,出行/_未分类,
2345,出行/_未分类,
2350,出行/_未分类,
