id,old_category,new_category
103,借出,居家/赡养抚养
230,借出,居家/赡养抚养
319,借出,居家/赡养抚养
364,借出,居家/赡养抚养
387,借出,居家/赡养抚养
895,借出,居家/赡养抚养
1037,借出,居家/赡养抚养
1225,借出,居家/赡养抚养
1391,借出,居家/赡养抚养
1611,借出,居家/赡养抚养
1779,借出,居家/赡养抚养
1936,借出,居家/赡养抚养
2148,借出,居家/赡养抚养
2313,借出,居家/赡养抚养
2457,借出,居家/赡养抚养
2551,借出,居家/赡养抚养
2670,借出,居家/赡养抚养
3377,借出,居家/赡养抚养
3514,借出,居家/赡养抚养
3656,借出,居家/赡养抚养
3832,借出,居家/赡养抚养
3942,借出,居家/赡养抚养
4106,借出,居家/赡养抚养
4261,借出,居家/赡养抚养
4441,借出,居家/赡养抚养
4600,借出,居家/赡养抚养
